code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,total_score,total_clicks,date_registration,date_unregistration,Normalised_score,Engagement_score,Score_category
AAA,2013J,305152,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,Fail,64,146,-18,?,6.59864E-31,210,Medium
AAA,2013J,305386,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,Y,Pass,7576838076,1277,-66,?,7.812E-23,7576839353,High
AAA,2013J,305539,F,Wales,Lower Than A Level,80-90%,0-35,0,120,N,Withdrawn,0,68,-54,-3,0,68,Zero
AAA,2013J,306107,M,West Midlands Region,A Level or Equivalent,50-60%,35-55,0,120,N,Pass,7346627040,987,-107,?,7.57465E-23,7346628027,High
AAA,2013J,306466,M,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,8178887687,1220,-58,?,8.43274E-23,8178888907,High
AAA,2013J,306897,F,London Region,A Level or Equivalent,Oct-20,0-35,0,60,N,Pass,7273743955,2742,-123,?,7.4995E-23,7273746697,High
AAA,2013J,307061,F,East Midlands Region,HE Qualification,Oct-20,0-35,0,60,N,Pass,8276838283,1081,-31,?,8.53373E-23,8276839364,High
AAA,2013J,307866,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,47527368,1476,-107,?,4.90025E-25,47528844,High
AAA,2013J,311917,M,South West Region,A Level or Equivalent,60-70%,55<=,0,120,N,Pass,5546616767,2230,-121,?,5.71877E-23,5546618997,High
AAA,2013J,312537,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,Distinction,8890888588,12882,-79,?,9.16684E-23,8890901470,High
AAA,2013J,312782,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,8954605056,281,-59,?,9.23253E-23,8954605337,High
AAA,2013J,318933,F,East Anglian Region,HE Qualification,80-90%,0-35,0,120,N,Pass,7063626870,1281,-100,?,7.28286E-23,7063628151,High
AAA,2013J,319047,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,7775818079,6589,-47,?,8.01716E-23,7775824668,High
AAA,2013J,321942,M,South Region,HE Qualification,90-100%,55<=,0,60,N,Pass,8280808080,10083,-67,?,8.53782E-23,8280818163,High
AAA,2013J,324002,M,East Anglian Region,HE Qualification,40-50%,35-55,0,60,N,Pass,8569808583,1901,-32,?,8.83579E-23,8569810484,High
AAA,2013J,324084,F,South West Region,A Level or Equivalent,Oct-20,35-55,0,60,N,Pass,5835667257,1961,-165,?,6.01679E-23,5835669218,High
AAA,2013J,324282,M,South East Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,3858647472,133,-32,?,3.97841E-23,3858647605,High
AAA,2013J,331358,F,South Region,HE Qualification,90-100%,35-55,0,60,N,Withdrawn,84,2376,-67,53,8.66071E-31,2460,High
AAA,2013J,332789,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,6977727876,1655,-64,?,7.1943E-23,6977729531,High
AAA,2013J,333059,M,Scotland,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,7270737440,301,-103,?,7.4964E-23,7270737741,High
AAA,2013J,333323,M,Scotland,HE Qualification,80-90%,0-35,0,60,N,Pass,7778717175,648,-53,?,8.02015E-23,7778717823,High
AAA,2013J,334259,F,London Region,A Level or Equivalent,50-60%,0-35,0,150,N,Fail,5749,332,-32,?,5.92743E-29,6081,High
AAA,2013J,334333,F,South West Region,A Level or Equivalent,0-10%,0-35,0,240,Y,Withdrawn,36,303,-192,65,3.71173E-31,339,Low
AAA,2013J,335764,F,South East Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn,868786,2286,-196,160,8.95751E-27,871072,High
AAA,2013J,336207,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,7167657563,1316,-110,?,7.39012E-23,7167658879,High
AAA,2013J,339972,M,North Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,6844523748,333,-57,?,7.05696E-23,6844524081,High
AAA,2013J,341872,M,East Anglian Region,Lower Than A Level,40-50%,0-35,0,180,N,Fail,6464637060,201,48,?,6.66528E-23,6464637261,High
AAA,2013J,342007,F,West Midlands Region,HE Qualification,70-80%,0-35,0,60,N,Withdrawn,75,880,-71,51,7.73278E-31,955,High
AAA,2013J,342514,M,Scotland,Lower Than A Level,50-60%,55<=,0,60,N,Pass,6874798580,1950,-81,?,7.08817E-23,6874800530,High
AAA,2013J,342972,M,Yorkshire Region,HE Qualification,0-10%,0-35,0,60,N,Pass,6257535773,838,-60,?,6.45175E-23,6257536611,High
AAA,2013J,343446,M,Ireland,HE Qualification,70-80%,35-55,0,120,N,Pass,7477787786,3644,-49,?,7.70988E-23,7477791430,High
AAA,2013J,344282,M,Yorkshire Region,A Level or Equivalent,Oct-20,0-35,0,60,N,Fail,6153474243,65,-12,?,6.34446E-23,6153474308,High
AAA,2013J,345068,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,180,Y,Pass,7075808085,547,-37,?,7.29542E-23,7075808632,High
AAA,2013J,345357,M,Yorkshire Region,A Level or Equivalent,30-40%,0-35,0,60,N,Distinction,7570818591,2219,-18,?,7.8058E-23,7570820810,High
AAA,2013J,346025,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass,8575828585,569,-75,?,8.842E-23,8575829154,High
AAA,2013J,346843,F,Scotland,HE Qualification,50-60%,35-55,0,120,N,Fail,0,164,-44,?,0,164,Zero
AAA,2013J,350188,M,North Western Region,HE Qualification,80-90%,35-55,0,60,N,Pass,7575767271,761,-49,?,7.8109E-23,7575768032,High
AAA,2013J,354858,M,South Region,HE Qualification,90-100%,35-55,0,120,N,Withdrawn,0,198,-32,5,0,198,Zero
AAA,2013J,357668,M,Yorkshire Region,A Level or Equivalent,Oct-20,0-35,0,60,N,Fail,496359,166,-38,?,5.11765E-27,496525,High
AAA,2013J,364177,M,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Fail,64657572,821,-129,?,6.66644E-25,64658393,High
AAA,2013J,365244,F,London Region,A Level or Equivalent,0-10%,0-35,0,120,N,Pass,6453595056,891,-38,?,6.6539E-23,6453595947,High
AAA,2013J,365642,M,East Anglian Region,Lower Than A Level,Oct-20,35-55,0,60,N,Pass,6863777072,2129,-52,?,7.07681E-23,6863779201,High
AAA,2013J,366483,M,South West Region,HE Qualification,40-50%,0-35,0,60,N,Pass,8870825490,1465,-4,?,9.14615E-23,8870826955,High
AAA,2013J,368194,F,South West Region,A Level or Equivalent,50-60%,0-35,0,120,Y,Pass,5449585041,437,-123,?,5.61873E-23,5449585478,High
AAA,2013J,368824,M,Wales,HE Qualification,50-60%,35-55,0,120,N,Fail,6168683942,292,-60,?,6.36014E-23,6168684234,High
AAA,2013J,368963,M,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,180,N,Pass,5859737468,677,-19,?,6.04161E-23,5859738145,High
AAA,2013J,376439,M,North Region,HE Qualification,?,0-35,0,60,N,Distinction,8677899489,2342,-87,?,8.94724E-23,8677901831,High
AAA,2013J,376581,F,South Region,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,8660626888,2333,-64,?,8.92943E-23,8660629221,High
AAA,2013J,380953,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,7358687565,1062,-155,?,7.58708E-23,7358688627,High
AAA,2013J,383254,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,7469856981,543,-61,?,7.7017E-23,7469857524,High
AAA,2013J,386924,M,Ireland,Lower Than A Level,?,0-35,0,120,N,Pass,5965806570,164,-192,?,6.15097E-23,5965806734,High
AAA,2013J,386952,M,Yorkshire Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,6763716475,910,-38,?,6.97364E-23,6763717385,High
